ATL,Atlanta,GA
ORD,Chicago,IL
LAX,Los Angeles,CA
DFW,Dallas/Fort Worth,TX
DEN,Denver,CO
JFK,New York,NY
SFO,San Francisco,CA
LAS,Las Vegas,NV
PHX,Phoenix,AZ
IAH,Houston,TX
CLT,Charlotte,NC
MIA,Miami,FL
MCO,Orlando,FL
EWR,Newark,NJ
SEA,Seattle,WA
MSP,Minneapolis/St. Paul,MN
DTW,Detroit,MI
PHL,Philadelphia,PA
BOS,Boston,MA
LGA,New York,NY
FLL,Fort Lauderdale,FL
BWI,"Baltimore/Washington, DC",MD
IAD,"Washington, DC",VA
SLC,Salt Lake City,UT
MDW,Chicago,IL
DCA,"Washington, DC",VA
HNL,Honolulu,HI
SAN,San Diego,CA
TPA,Tampa,FL
PDX,Portland,OR
STL,St. Louis,MO
MCI,Kansas City,MO
HOU,Houston,TX
BNA,Nashville,TN
MKE,Milwaukee,WI
OAK,Oakland,CA
RDU,Raleigh/Durham,NC
AUS,Austin,TX
CLE,Cleveland,OH
SMF,Sacramento,CA
MEM,Memphis,TN
MSY,New Orleans,LA
SNA,Orange County,CA
SJC,San Jose,CA
PIT,Pittsburgh,PA
SAT,San Antonio,TX
SJU,San Juan,PR
DAL,Dallas,TX
RSW,Fort Myers,FL
IND,Indianapolis,IN
